City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Bacabal,BR,73.04,scattered clouds,-4.29,-44.79,Rancho Sol Nascente
263,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
272,Morgantown,US,71.6,clear sky,39.63,-79.96,Morgantown Marriott at Waterfront Place
283,Gympie,AU,69.01,clear sky,-26.19,152.66,Mary River Motor Inn
284,Daru,PG,79.93,overcast clouds,-9.08,143.21,New century hotel
286,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
292,Horodenka,UA,66.99,overcast clouds,48.67,25.5,De Luxe
293,Bandarbeyla,SO,78.35,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
297,Vila Franca Do Campo,PT,69.8,few clouds,37.72,-25.43,Pestana Bahia Praia
299,San Felipe,VE,72.52,broken clouds,10.34,-68.74,Posada Llovizna Rodríguez
300,Guerrero Negro,MX,74.75,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
302,Chippewa Falls,US,73.0,clear sky,44.94,-91.39,AmericInn by Wyndham Chippewa Falls
305,Dharchula,IN,77.67,scattered clouds,29.85,80.53,Mahara Hotel
308,Abu Zabad,SD,73.98,overcast clouds,12.35,29.25,محي الدين نوري
310,Beipiao,CN,66.0,moderate rain,41.79,120.78,Beipiao Hotel
311,Hyeres,FR,71.01,few clouds,43.12,6.12,ibis budget Hyères Centre-Ville
314,Solnechnyy,RU,68.56,overcast clouds,50.72,136.63,Hotel complex Pastoral
315,Lodwar,KE,77.58,broken clouds,3.12,35.6,Turkwel Lodge
317,Ambilobe,MG,68.99,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
319,Puerto Escondido,MX,79.05,light rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
321,San Carlos,VE,73.33,light rain,9.66,-68.58,Hotel Paternopoli
324,Thaton,MM,79.21,moderate rain,16.92,97.37,တိုင်းရင်းဆေး ခရိုင်ဦးစီးဌာနမှူးရုံး
326,Mouila,GA,72.81,overcast clouds,-1.87,11.06,Hôtel du Lac Bleu
331,Lazaro Cardenas,MX,79.52,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
332,Bud,US,72.0,clear sky,39.45,-86.18,Madsion Scouts Camp
333,Monkey Bay,MW,66.74,overcast clouds,-14.07,34.92,Monkey Bay Beach Lodge
